Pond,Date,Week,Block,Rep,Dreisse,Macrophytes,Nutrients,TreatNR,Treatment,pH,TN,orthoP,TP,Nitrate,Temperature,O2,Turbidity,CHL,TED,CtoN,CtoP,c_Cyanobacteria,c_Golden_algae,c_Diatoms,c_Dinoflagellates,c_Cryptophytes,c_Green_algae,c_Achnthaceae,c_Aphanocapsa,c_Asterionella,c_Bicosoeca,c_Carteria,c_Chlamydomos,c_Chroococus,c_Coelastrum_1,c_Coelastrum_2,c_Coelastrum_3,c_Cosmarium_1,c_Cosmarium_2,c_Cryptomos,c_Cyclotella_1,c_Cyclotella_2,c_Diatoma,c_Elakatothrix,c_Erkenia,c_Gomphosphaeria,c_Gymnodinium,c_Haematococcaceae,c_Katablepharis,c_Kirchneriella,c_Lagerheimia_1,c_Lagerheimia_2,c_Leptothrix,c_Mallomos,c_Monoraphidium,c_Nephrocitium,c_Nitzschia,c_Oocystis_1,c_Oocystis_2,c_Pediastrum,c_Peridinium,c_Phacotus,c_Phormidium,c_Pseudoabae,c_Rayssiella,c_Rhodomos,c_Scenedesmus_1,c_Scenedesmus_2,c_Scenedesmus_3,c_Scenedesmus_4,c_Spiruli,c_Stephanodiscus_1,c_Stephanodiscus_2,c_Stephanodiscus_3,c_Synechococcales,c_Synedra_1,c_Synedra_2,c_Synedra_3,c_Tetraedron,c_Willea,c_Unknown_1,c_Unknown_2,c_Unknown_3,c_Unknown_4,c_Unknown_5,c_Unknown_6,c_Unknown_7,c_Unknown_8,c_Unknown_9,c_Unknown_10,c_Unkonwn_11,c_Unknown_12,c_Unknown_13,c_Keratella,c_Others,v_Cyanobacteria,v_Golden_algae,v_Diatoms,v_Dinoflagellates,v_Cryptophytes,v_Green_algae,v_Achnthaceae,v_Aphanocapsa,v_Asterionella,v_Bicosoeca,v_Carteria,v_Chlamydomos,v_Chroococus,v_Coelastrum_1,v_Coelastrum_2,v_Coelastrum_3,v_Cosmarium_1,v_Cosmarium_2,v_Cryptomos,v_Cyclotella_1,v_Cyclotella_2,v_Diatoma,v_Elakatothrix,v_Erkenia,v_Gomphosphaeria,v_Gymnodinium,v_Haematococcaceae,v_Katablepharis,v_Kirchneriella,v_Lagerheimia_1,v_Lagerheimia_2,v_Leptothrix,v_Mallomos,v_Monoraphidium,v_Nephrocitium,v_Nitzschia,v_Oocystis_1,v_Oocystis_2,v_Pediastrum,v_Peridinium,v_Phacotus,v_Phormidium,v_Pseudoabae,v_Rayssiella,v_Rhodomos,v_Scenedesmus_1,v_Scenedesmus_2,v_Scenedesmus_3,v_Scenedesmus_4,v_Spiruli,v_Stephanodiscus_1,v_Stephanodiscus_2,v_Stephanodiscus_3,v_Synechococcales,v_Synedra_1,v_Synedra_2,v_Synedra_3,v_Tetraedron,v_Willea,v_Unknown_1,v_Unknown_2,v_Unknown_3,v_Unknown_4,v_Unknown_5,v_Unknown_6,v_Unknown_7,v_Unknown_8,v_Unknown_9,v_Unknown_10,v_Unkonwn_11,v_Unknown_12,v_Unknown_13,Daphnia_adult,Copepod_adult
3B,12/19/2016,24,3,2,0,0,0,5,O,6.17,0.25,1.3,4.2,0.125,4,91.2,0.4,0.325203252,0.391614207,,,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,54192.47328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54192.47328,0,0,0,0,0,0,0
3C,12/19/2016,24,3,3,0,0,0,5,O,7.05,0.25,0.5,3.3,0.125,4,91.2,0.3,1.01897019,0.189030556,,,230,345,0,115,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,345,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3699.539509,22659.67949,0,142062.3172,55493.09263,0,0,0,0,0,0,0,0,0,0,0,0,0,55493.09263,0,0,0,0,22659.67949,0,142062.3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3699.539509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,12/19/2016,24,3,2,0,1,1,1,M,8.05,0.25,0.5,4.8,0.125,4,109.9,0.2,0.411924119,0.295435897,,,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,27096.23664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27096.23664,0,0,0,0,0,2,0
4A,12/19/2016,24,4,2,1,0,1,2,D,7.57,0.5499,1.1,7.7,0.325,3.9,116,0.6,0.672086721,0.599079263,,,0,345,115,230,575,287.5,57.5,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,345,0,230,0,0,0,57.5,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,172.5,0,0,0,0,0,0,0,0,22659.67949,153676.8,284124.6343,554930.9263,168474.5244,79488,0,0,0,0,0,0,0,0,0,0,0,554930.9263,0,0,0,0,22659.67949,0,284124.6343,0,0,0,20717.42125,0,0,0,0,0,0,0,66468.39316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74188.8,0,0,81288.70991,0,0,0,0,0,3,0
4B,12/19/2016,24,4,3,1,1,1,3,MD,6.29,0.25,1,9.8,0.125,4,109.2,1.3,8.195121951,0.070191809,,,50197.5,920,57.5,57.5,57.5,10637.5,0,0,0,0,0,287.5,0,0,0,0,0,0,57.5,0,0,0,0,920,0,57.5,0,0,9430,690,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,57.5,0,0,0,0,0,49507.5,0,0,0,0,0,0,0,0,0,57.5,0,0,172.5,0,0,0,0,0,0,0,833714.3506,60425.812,74188.8,71031.15858,55493.09263,744492.8259,0,0,0,0,0,64125.35148,0,0,0,0,0,0,55493.09263,0,0,0,0,60425.812,0,71031.15858,0,0,343810.5384,248609.055,0,0,0,0,0,0,0,0,0,0,0,0,37388.47116,0,0,0,0,6659.171117,0,0,0,0,0,796325.8795,0,0,0,0,0,0,0,0,0,74188.8,0,0,81288.70991,0,0,0,0,0,0,0
4C,12/19/2016,24,4,3,1,0,1,2,D,5.97,0.5148,1.4,7.5,0.125,4,94.9,0.6,2.16802168,0.30839829,,,115,0,172.5,805,1725,287.5,0,0,0,0,0,0,0,0,0,0,0,0,230,0,57.5,0,0,0,0,805,0,57.5,0,287.5,0,0,0,0,0,115,0,0,0,0,0,0,0,0,1437.5,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1849.769754,0,110044.8959,994436.2202,398922.116,103587.1062,0,0,0,0,0,0,0,0,0,0,0,0,221972.3705,0,4531.935898,0,0,0,0,994436.2202,0,11722.91582,0,103587.1062,0,0,0,0,0,105512.96,0,0,0,0,0,0,0,0,165226.8296,0,0,0,0,0,0,0,0,1849.769754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,12/19/2016,24,4,4,1,1,1,3,MD,8.12,0.25,0.5,37.2,0.125,4.1,104.4,6.2,5.853658537,-0.034491057,,,453675,0,115,0,0,6152.5,115,0,0,0,0,0,0,0,345,115,0,0,0,0,0,0,0,0,0,0,0,0,57.5,5405,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453675,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,7297341.681,0,158976,0,0,3243630.033,158976,0,0,0,0,0,0,0,984817.4172,22474.70252,0,0,0,0,0,0,0,0,0,0,0,0,2096.405722,1947437.598,259707.6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7297341.681,0,0,0,0,0,0,0,0,0,0,0,0,27096.23664,0,0,0,0,0,0,0
5A,12/19/2016,24,5,3,0,1,1,1,M,6.1,0.25,1.3,11.4,0.125,4,73,0.7,3.853658537,0.475382664,,,575,0,57.5,230,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,1207.5,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,575,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.5,9248.848774,0,88320,284124.6343,1171964.018,0,0,0,0,0,0,0,0,0,0,0,0,0,1165354.945,0,0,0,0,0,0,284124.6343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6609.073184,0,0,0,0,0,0,0,0,9248.848774,88320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5B,12/19/2016,24,5,4,0,1,1,1,M,6.1,0.25,1.3,5.4,0.125,4,96.6,0.5,0.613240418,0.406568151,,,402.5,0,57.5,0,0,690,0,0,0,0,0,0,0,0,0,0,57.5,0,0,57.5,0,0,0,0,0,0,0,0,0,402.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,402.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,172.5,6474.19414,0,46776.05267,0,0,224901.1727,0,0,0,0,0,0,0,0,0,0,61658.99179,0,0,46776.05267,0,0,0,0,0,0,0,0,0,145021.9488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6659.171117,0,0,0,0,0,6474.19414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11561.06096,0,0,0,0,0
5C,12/19/2016,24,5,4,1,0,1,2,D,6.02,0.6159,0.5,5.1,0.378,4,86,0.4,1.257452575,0.355867868,,,172.5,517.5,57.5,0,0,862.5,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.5,0,0,0,0,0,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.5,0,0,0,0,57.5,2774.654632,33989.51924,79488,0,0,456122.3919,79488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33989.51924,0,0,0,0,0,82869.685,346276.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774.654632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26975.80892,0,0,0,0,0
5D,12/19/2016,24,5,4,0,0,0,5,O,7.46,0.25,0.5,4,0.125,4,94,0.3,1.127371274,0.342508737,,,0,402.5,57.5,0,0,172.5,57.5,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,402.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26436.29274,79488,0,0,38475.21089,79488,0,0,0,0,38475.21089,0,0,0,0,0,0,0,0,0,0,0,26436.29274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1A,1/16/2017,28,1,1,1,0,1,2,D,8.07,0.25,1,9.1,0.125,4,119.3,2.9,7.902439024,0.152785988,,,107812.5,115,230,0,0,18457.5,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,18457.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107812.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734159.145,7553.226496,317952,0,0,6650292.22,317952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7553.226496,0,0,0,0,0,6650292.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734159.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,1/16/2017,28,1,1,0,0,1,4,C,7.43,0.25,1,5.9,0.125,3.9,100.3,0.9,4.195121951,0.247354368,,,345,12420,1035,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5549.309263,815748.4618,1430784,0,0,0,1430784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815748.4618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5549.309263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1C,1/16/2017,28,1,2,0,0,1,4,C,7.58,0.25,1.3,7,0.125,3.8,104.4,1.7,4.487804878,0.291459919,,,920,5175,460,0,0,6095,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5060,0,0,0,0,345,4657.5,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,115,632.5,115,0,0,0,172.5,14798.15804,336195.6528,635904,0,0,2264297.376,635904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332341.9659,0,0,0,0,12578.43433,1678111.121,519415.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14798.15804,0,0,0,0,0,0,0,0,0,0,0,0,0,11801.9164,42390.55687,3853.686989,0,0,0,0
1D,1/16/2017,28,1,1,0,0,0,5,O,7.1,0.25,0.5,3.2,0.125,3.9,101.6,0.2,1.697560976,0.680285936,,,632.5,57.5,345,0,0,345,345,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.5,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,460,10173.73365,3776.613249,476928,0,0,56178.08549,476928,0,0,0,0,38475.21089,0,0,0,0,0,0,0,0,0,0,0,3776.613249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10173.73365,0,0,0,0,0,0,0,0,0,0,0,0,0,17702.87461,0,0,0,0,0,0
2A,1/16/2017,28,2,1,1,1,1,3,MD,7.13,0.25,1,3.2,0.125,4,92,4.2,3.317073171,-0.000871715,,,308200,0,230,0,0,1092.5,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4957382.942,0,317952,0,0,337767.9572,317952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6289.217164,331478.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4957382.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,1/16/2017,28,2,3,0,0,1,4,C,7.35,0.25,0.5,5.3,0.125,3.9,106.3,0.7,1.67804878,0.364982922,,,2127.5,57.5,345,0,0,3622.5,287.5,0,0,0,0,57.5,0,0,0,0,0,0,0,57.5,0,0,0,57.5,0,0,0,0,0,3335,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34220.74046,3776.613249,444216.0527,0,0,1560712.401,397440,0,0,0,0,12825.0703,0,0,0,0,0,0,0,46776.05267,0,0,0,3776.613249,0,0,0,0,0,1201610.433,346276.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34220.74046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2C,1/16/2017,28,2,2,1,1,1,3,MD,7.29,0.25,0.5,17.5,0.125,4.1,93.5,3.8,4.943089431,-0.035121319,,,143520,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,143520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,2308512.654,0,0,0,0,158895.2219,0,0,0,0,0,0,0,0,0,0,61658.99179,0,0,0,0,0,0,0,0,0,0,0,0,82869.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6659.171117,0,0,0,0,0,2308512.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7707.37398,0,0,0,0,0
2D,1/16/2017,28,2,1,0,1,1,1,M,7.18,0.25,0.5,8.2,0.125,3.9,94.8,1.6,1.756097561,0.002575649,,,33005,172.5,57.5,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,172.5,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33005,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,530883.9195,11329.83974,52756.48,0,0,73954.18016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11329.83974,0,0,0,0,0,62152.26376,0,0,0,0,0,52756.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530883.9195,0,0,0,0,0,0,0,0,0,0,0,0,0,11801.9164,0,0,0,0,0,0
3A,1/16/2017,28,3,4,0,0,1,4,C,7.05,0.25,1.2,3.9,0.125,3.8,85,0.2,0.03902439,0.569805636,,,575,977.5,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,115,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,9248.848774,62352.65546,0,0,0,62744.1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60425.812,0,0,0,0,0,41434.8425,0,0,0,0,21309.34757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9248.848774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1926.843494,0,0,0,10
3B,1/16/2017,28,3,2,0,0,0,5,O,7.01,0.25,1,3.7,0.125,3.8,97.2,0.4,4.146341463,0.336553711,,,57.5,230,0,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,345,924.8848774,15106.45299,0,0,0,29504.79101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15106.45299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.8848774,0,0,0,0,0,0,0,0,0,0,0,0,0,29504.79101,0,0,0,0,0,0
3C,1/16/2017,28,3,3,0,0,0,5,O,7.11,0.25,0.5,3.7,0.125,3.8,95.1,0.2,0.195121951,0.578378991,,,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776.613249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776.613249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,1/16/2017,28,3,2,0,1,1,1,M,8.82,0.25,0.5,6.7,0.125,3.8,115.9,0.3,4.032520325,0.67471355,,,1092.5,0,0,0,57.5,345,0,0,0,0,0,0,460,0,0,0,345,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,39006.11649,0,0,0,55493.09263,369953.9509,0,0,0,0,0,0,26636.68446,0,0,0,369953.9509,0,55493.09263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4624.424386,0,0,0,0,0,0,7745.007638,0,0,0,0,0,0,0,0,0,0,0,21,1
4A,1/16/2017,28,4,2,1,0,1,2,D,7.28,0.25,1,8.2,0.274,3.9,122.5,0.3,1.672473868,0.614346848,,,57.5,0,287.5,0,632.5,57.5,287.5,0,0,0,0,57.5,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.8848774,0,397440,0,566653.8422,12825.0703,397440,0,0,0,0,12825.0703,0,0,0,0,0,0,554930.9263,0,0,0,0,0,0,0,0,11722.91582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.8848774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
4B,1/16/2017,28,4,3,1,1,1,3,MD,7.27,0.25,1.6,10.2,0.125,3.8,116,1,11.51219512,0.106778554,,,104650,632.5,115,115,2070,5980,115,0,0,0,0,460,0,0,0,0,0,0,2070,0,0,0,0,632.5,0,57.5,0,0,4542.5,345,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,103500,0,0,0,0,0,0,0,0,0,0,57.5,0,0,632.5,0,0,0,0,0,0,1727106.898,41542.74573,158976,105560.194,1997751.335,457431.6821,158976,0,0,0,0,102600.5624,0,0,0,0,0,0,1997751.335,0,0,0,0,41542.74573,0,71031.15858,0,0,165616.052,124304.5275,0,0,0,0,0,0,0,0,0,0,0,0,62314.11862,0,0,0,0,0,0,0,0,0,0,1664792.779,0,0,0,0,0,0,0,0,0,0,34529.03542,0,0,64910.5402,0,0,0,0,0,3
4C,1/16/2017,28,4,3,1,0,1,2,D,7.15,0.25,1.2,8.2,0.125,3.9,100.9,0.9,5.643527205,0.239836782,,,2932.5,6210,402.5,0,6842.5,1322.5,172.5,0,0,0,0,0,0,0,0,0,57.5,0,0,0,115,0,0,6210,0,0,0,57.5,0,115,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,6785,0,0,0,0,0,0,0,0,1782.5,57.5,0,0,0,0,0,0,0,0,57.5,0,0,0,1150,0,0,0,0,0,0,90985.54981,407874.2308,410036.6718,0,791593.5519,221112.9983,238464,0,0,0,0,0,0,0,0,0,61658.99179,0,0,0,9063.871798,0,0,407874.2308,0,0,0,11722.91582,0,41434.8425,0,0,0,0,0,0,0,0,0,0,0,0,62314.11862,0,779870.6359,0,0,0,0,0,0,0,0,28671.4312,88320,0,0,0,0,0,0,0,0,74188.8,0,0,0,118019.164,0,0,0,0,0,0
4D,1/16/2017,28,4,4,1,1,1,3,MD,7.37,0.25,1,28.9,0.125,3.8,95.1,4.5,9.235772358,,,,462300,0,0,0,0,2875,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,57.5,2070,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462300,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,287.5,7436074.415,0,0,0,0,1243986.538,0,0,0,0,0,0,0,0,0,33712.05378,0,0,0,0,0,0,0,0,0,0,0,0,2096.405722,745827.1652,432846.1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7436074.415,0,0,0,0,0,0,0,0,0,0,0,0,0,29504.79101,0,0,0,0,0,12
5A,1/16/2017,28,5,3,0,1,1,1,M,7.18,0.25,1.6,12.7,0.125,4,81.4,1.5,9.756097561,0.022638881,,,15812.5,0,172.5,172.5,1667.5,115,172.5,0,0,0,0,0,0,0,0,0,0,0,1552.5,0,0,0,0,0,0,172.5,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15812.5,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,115,254343.3412,0,238464,213093.4757,1521759.333,11801.9164,238464,0,0,0,0,0,0,0,0,0,0,0,1498313.501,0,0,0,0,0,0,213093.4757,0,23445.83164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254343.3412,0,0,0,0,0,0,0,0,0,0,0,0,0,11801.9164,0,0,0,0,0,0
5B,1/16/2017,28,5,4,0,1,1,1,M,7.08,0.25,0.5,5.8,0.125,3.8,98,0.4,0.585365854,0.30679556,,,2587.5,0,0,57.5,57.5,402.5,0,0,0,0,0,115,0,0,0,0,57.5,0,57.5,0,0,0,0,0,0,57.5,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2587.5,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,41619.81948,0,0,71031.15858,55493.09263,182936.4482,0,0,0,0,0,25650.14059,0,0,0,0,61658.99179,0,55493.09263,0,0,0,0,0,0,71031.15858,0,0,0,41434.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41619.81948,0,0,0,0,0,0,0,0,0,0,0,0,54192.47328,0,0,0,0,0,0,0
5C,1/16/2017,28,5,4,1,0,1,2,D,6.96,0.5357,1,6.3,0.349,3.8,86.3,0.7,4.292682927,0.510976445,,,0,0,115,0,345,747.5,115,0,0,0,0,460,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,158976,0,332958.5558,172460.2001,158976,0,0,0,0,102600.5624,0,0,0,0,0,0,332958.5558,0,0,0,0,0,0,0,0,0,0,62152.26376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7707.37398,0,0,0,0,0
